VLC;Jarak;Risk
0.2;255;Bahaya
0.2;259;Bahaya
0.2;221;Bahaya
0.19;211;Bahaya
0.2;254;Bahaya
0.31;255;Bahaya
0.5;287;Bahaya
0.19;256;Bahaya
0.19;253;Bahaya
0.04;280;Bahaya
0.5;250;Bahaya
0.04;252;Bahaya
0.03;217;Bahaya
0.5;290;Bahaya
0.2;260;Bahaya
0.64;252;Bahaya
0.19;252;Bahaya
0.19;252;Bahaya
0.2;259;Bahaya
0.19;257;Bahaya
0.46;252;Bahaya
0.45;225;Bahaya
0.94;265;Bahaya
0.2;212;Bahaya
0.8;293;Bahaya
0.91;264;Bahaya
0.79;263;Bahaya
0.34;257;Bahaya
0.94;256;Bahaya
0.2;256;Bahaya
0.2;252;Bahaya
0.31;252;Bahaya
0.2;242;Bahaya
0.2;262;Bahaya
0.19;250;Bahaya
0.33;246;Bahaya
0.5;246;Bahaya
0.2;248;Bahaya
0.96;248;Bahaya
0.2;250;Bahaya
1.23;250;Bahaya
0.41;251;Bahaya
0.16;252;Bahaya
0.19;252;Bahaya
0.19;254;Bahaya
0.19;253;Bahaya
0.94;253;Bahaya
0.95;252;Bahaya
0.14;254;Bahaya
0.46;254;Bahaya
0.4;253;Bahaya
0.5;254;Bahaya
0.91;257;Bahaya
0.2;248;Bahaya
0.5;253;Bahaya
0.2;255;Bahaya
0.19;252;Bahaya
0.6;255;Bahaya
0.2;259;Bahaya
0.34;251;Bahaya
0.2;261;Bahaya
0.34;254;Bahaya
1.23;255;Bahaya
0.94;287;Bahaya
0.2;256;Bahaya
0.19;253;Bahaya
0.19;280;Bahaya
0.19;250;Bahaya
0.2;252;Bahaya
0.2;217;Bahaya
0.2;290;Bahaya
0.2;260;Bahaya
0;206;Bahaya
1.25;272;Bahaya
0.97;252;Bahaya
0.52;252;Bahaya
0.94;252;Bahaya
0.96;259;Bahaya
0.2;257;Bahaya
0.19;252;Bahaya
0.15;225;Bahaya
0.19;265;Bahaya
0.31;252;Bahaya
0.14;293;Bahaya
0.19;264;Bahaya
0.2;263;Bahaya
0.15;247;Bahaya
0.83;250;Bahaya
0.84;246;Bahaya
0.79;246;Bahaya
0.2;248;Bahaya
0;248;Bahaya
0.62;250;Bahaya
0.2;250;Bahaya
0.07;251;Bahaya
0.2;252;Bahaya
0.2;252;Bahaya
0.2;254;Bahaya
0;253;Bahaya
1.2;253;Bahaya
1.15;252;Bahaya
0.19;254;Bahaya
0.2;254;Bahaya
1.23;293;Bahaya
0.56;264;Bahaya
0.57;263;Bahaya
0.5;247;Bahaya
0.2;250;Bahaya
0.2;246;Bahaya
0.27;246;Bahaya
0.15;248;Bahaya
0.19;248;Bahaya
0.2;250;Bahaya
1.22;250;Bahaya
0.28;251;Bahaya
0.2;252;Bahaya
0.3;252;Bahaya
0.2;254;Bahaya
0;255;Bahaya
0.5;287;Bahaya
0.41;256;Bahaya
0.5;253;Bahaya
0.2;280;Bahaya
0.2;250;Bahaya
0.96;252;Bahaya
0.2;217;Bahaya
0.19;290;Bahaya
0.19;260;Bahaya
0.19;246;Bahaya
0.2;248;Bahaya
0.2;248;Bahaya
0.19;250;Bahaya
0.2;250;Bahaya
0.2;251;Bahaya
0.26;252;Bahaya
0.19;252;Bahaya
0.21;254;Bahaya
0.2;253;Bahaya
0.95;253;Bahaya
1.24;252;Bahaya
0.2;254;Bahaya
0.2;254;Bahaya
0.2;293;Bahaya
0.2;264;Bahaya
0.2;263;Bahaya
0.19;304;Hati-Hati
0.19;308;Hati-Hati
0.2;308;Hati-Hati
0.19;302;Hati-Hati
0.5;309;Hati-Hati
0.91;304;Bahaya
0.85;310;Bahaya
0.13;310;Hati-Hati
0.01;309;Hati-Hati
0.2;337;Hati-Hati
0.64;333;Hati-Hati
0.96;329;Bahaya
0.19;310;Hati-Hati
0.2;318;Hati-Hati
0.23;301;Hati-Hati
0.5;316;Hati-Hati
0.2;311;Hati-Hati
0.19;311;Hati-Hati
0.2;302;Hati-Hati
0.19;306;Hati-Hati
0.34;309;Hati-Hati
0.31;315;Hati-Hati
0.28;308;Hati-Hati
0.2;297;Bahaya
0.23;295;Bahaya
0.19;295;Bahaya
0.19;299;Bahaya
0.23;280;Bahaya
0.31;319;Hati-Hati
0.19;293;Bahaya
0.19;310;Hati-Hati
0.26;310;Hati-Hati
0.16;301;Hati-Hati
0.03;308;Hati-Hati
0.16;310;Hati-Hati
0.17;291;Bahaya
0.24;298;Bahaya
0.17;311;Hati-Hati
0.16;309;Hati-Hati
0.03;299;Bahaya
0.19;280;Bahaya
0.19;319;Hati-Hati
0.03;293;Bahaya
0.19;310;Hati-Hati
0.16;321;Hati-Hati
0.19;311;Hati-Hati
0.19;301;Hati-Hati
0.19;308;Hati-Hati
0.19;310;Hati-Hati
0.19;291;Bahaya
0.19;298;Bahaya
0.19;311;Hati-Hati
0.19;309;Hati-Hati
0.2;299;Bahaya
0.2;280;Bahaya
0.2;319;Hati-Hati
0.19;291;Bahaya
0.2;298;Bahaya
0.16;311;Hati-Hati
0.2;309;Hati-Hati
0.2;299;Bahaya
0.2;310;Hati-Hati
0.2;310;Hati-Hati
0.2;321;Hati-Hati
0.19;311;Hati-Hati
0.2;301;Hati-Hati
0.19;308;Hati-Hati
0.2;310;Hati-Hati
0.28;291;Bahaya
0.26;291;Bahaya
0.2;291;Bahaya
0.23;298;Bahaya
0.16;311;Hati-Hati
0.03;309;Hati-Hati
0.16;310;Hati-Hati
0.72;310;Bahaya
0.16;321;Hati-Hati
0.19;311;Hati-Hati
0.37;301;Hati-Hati
0.2;311;Hati-Hati
0.5;310;Hati-Hati
0.19;278;Bahaya
0.2;284;Bahaya
0.19;327;Hati-Hati
0.2;326;Hati-Hati
0.23;325;Hati-Hati
0.2;323;Hati-Hati
0.2;329;Hati-Hati
0.27;324;Hati-Hati
0.2;304;Bahaya
0.28;308;Bahaya
0.2;308;Bahaya
0.94;302;Bahaya
0.23;289;Bahaya
0.19;310;Bahaya
0.14;316;Bahaya
0.2;310;Bahaya
0.15;280;Bahaya
0.19;317;Bahaya
0.5;313;Bahaya
0.89;329;Bahaya
0.53;304;Bahaya
0.75;308;Bahaya
0.2;308;Bahaya
0.2;302;Bahaya
0.2;289;Bahaya
1.2;310;Bahaya
1.12;316;Bahaya
0.2;310;Bahaya
0.91;280;Bahaya
0.2;317;Bahaya
1.12;313;Bahaya
0.66;329;Bahaya
0.2;316;Bahaya
0.2;310;Bahaya
0.2;280;Bahaya
0.95;317;Bahaya
0.83;313;Bahaya
1.23;329;Bahaya
0.41;304;Bahaya
0.2;308;Bahaya
0.2;308;Bahaya
0.49;302;Bahaya
0.96;289;Bahaya
1.24;310;Bahaya
0.2;304;Bahaya
0.2;308;Bahaya
0.5;308;Bahaya
0.2;302;Bahaya
0.54;289;Bahaya
0.23;310;Bahaya
0.2;316;Bahaya
0.2;310;Bahaya
0.2;280;Bahaya
0;317;Bahaya
0;313;Bahaya
0.2;308;Bahaya
0.63;302;Bahaya
0;289;Bahaya
0;310;Bahaya
0.91;304;Bahaya
0;308;Bahaya
0.76;308;Bahaya
1.15;302;Bahaya
0.2;289;Bahaya
0.91;280;Bahaya
0;317;Bahaya
0.91;313;Bahaya
0.21;329;Bahaya
0.84;316;Bahaya
0.2;310;Bahaya
0.97;280;Bahaya
0;317;Bahaya
0.2;310;Bahaya
0.02;316;Bahaya
0.91;310;Bahaya
0.2;280;Bahaya
0.2;317;Bahaya
1.12;313;Bahaya
1.04;329;Bahaya
0.2;316;Bahaya
